account,amount,merchant,transaction_type,location,month,day,hour,minute,weekend,account_amount_delta,account_hourly_transaction_sum,merchant_amount_delta,merchant_hourly_transaction_sum,suspected_anomaly
ACC7,64874.25,MerchantI,Transfer,New York,1,27,10,13,0,60969.6,885441.62,42823.55,1547407.05,0
ACC11,82952.39,MerchantG,Withdrawal,Tokyo,2,18,9,14,1,-8985.649999999994,1294331.98,69273.87,1999347.16,0
ACC14,79022.98,MerchantB,Transfer,San Francisco,5,15,6,8,0,946.8499999999913,965050.12,55882.03,1564253.3,0
ACC13,24156.54,MerchantA,Withdrawal,London,4,26,13,42,0,-38120.729999999996,1090261.91,962.3400000000001,1285141.1400000001,0
ACC5,81118.9,MerchantC,Withdrawal,New York,3,13,12,57,0,36757.56,1050247.32,-1543.8800000000047,1123508.04,0
ACC10,6776.26,MerchantH,Withdrawal,London,3,16,2,28,0,-63815.77,779780.1,-63815.77,1777791.75,0
ACC2,21745.11,MerchantD,Withdrawal,San Francisco,4,24,1,19,0,-54803.619999999995,863467.57,-40816.659999999996,1452500.52,0
ACC3,14374.09,MerchantD,Transfer,New York,5,19,7,6,0,-15387.029999999999,1169482.8,-4730.470000000001,1497532.22,0
ACC7,2942.94,MerchantA,Transfer,London,4,18,8,51,0,-47162.729999999996,911865.5700000001,-42163.979999999996,1418621.25,0
ACC10,78579.3,MerchantB,Purchase,Tokyo,3,26,10,24,1,49281.840000000004,1356551.7,11714.930000000008,1637839.66,0
ACC13,18628.7,MerchantA,Purchase,San Francisco,3,4,19,0,1,-16611.850000000002,2494183.64,-67540.46,3615050.62,0
ACC9,64873.0,MerchantB,Withdrawal,New York,5,29,1,23,0,-3462.1300000000047,807723.95,59860.57,1394837.28,0
ACC12,53987.91,MerchantE,Withdrawal,Tokyo,3,15,9,4,0,17090.280000000006,766449.62,18212.79,1937263.54,0
ACC13,44374.54,MerchantC,Purchase,Tokyo,11,4,16,9,1,24221.600000000002,2530249.62,37799.43,3364554.03,0
ACC14,1693.32,MerchantB,Transfer,New York,3,13,0,2,0,-83079.87,711893.04,-54290.48,1693476.77,0
ACC4,65382.09,MerchantD,Purchase,New York,3,31,11,2,0,-15337.960000000006,338317.79000000004,2044.75,1313083.76,0
ACC5,42664.98,MerchantC,Transfer,Los Angeles,2,22,13,2,0,-43651.15,901816.07,-43651.15,1856976.76,0
ACC11,34133.04,MerchantD,Withdrawal,London,10,2,0,55,0,10786.470000000001,2355607.87,-19713.08,3390081.46,0
ACC14,64394.73,MerchantF,Withdrawal,Los Angeles,1,28,20,41,1,37458.64,1168893.63,-9568.29,1775865.69,0
ACC3,42911.87,MerchantC,Transfer,London,2,26,18,22,1,-23043.620000000003,721456.75,39387.97,1529773.68,0
ACC14,31430.34,MerchantE,Transfer,San Francisco,5,23,18,55,0,-22318.320000000003,993015.75,-3556.2999999999993,1494274.19,0
ACC11,63253.25,MerchantA,Withdrawal,London,5,19,9,23,0,11249.760000000002,1162460.2,-20184.990000000005,1147985.09,0
ACC3,19479.39,MerchantH,Transfer,San Francisco,5,16,16,37,0,-67400.59,1588157.99,-8680.18,1407631.76,0
ACC6,99885.4,MerchantD,Withdrawal,Tokyo,11,3,14,29,0,28785.679999999993,2740187.57,21481.42,3758538.07,0
ACC1,22942.9,MerchantB,Withdrawal,New York,4,4,16,25,0,-26796.129999999997,2214235.79,-34831.15,2894856.68,0
ACC2,60445.41,MerchantH,Withdrawal,Tokyo,8,3,19,42,0,13863.160000000003,2298222.59,35676.42,4715530.12,0
ACC2,22096.89,MerchantA,Transfer,New York,1,25,15,26,0,-77295.66,1203745.03,-21379.059999999998,1708426.48,0
ACC3,34929.74,MerchantF,Purchase,San Francisco,6,1,1,42,0,-46456.280000000006,1869571.2,-22364.22,3369467.36,0
ACC9,16592.34,MerchantG,Transfer,Los Angeles,4,23,18,48,1,-29518.44,1282170.63,-71925.12000000001,1705745.31,0
ACC12,84434.49,MerchantD,Purchase,New York,4,26,1,11,0,54244.55,991558.96,-6730.429999999993,1288862.08,0
ACC13,21242.24,MerchantE,Purchase,New York,5,28,5,24,1,-22485.02,1161161.65,18274.920000000002,1667818.63,0
ACC4,79151.35,MerchantI,Transfer,Los Angeles,1,19,23,4,0,-7863.87999999999,1512114.98,16843.33000000001,1842440.07,0
ACC5,59817.79,MerchantI,Withdrawal,New York,3,30,18,41,0,7620.470000000001,1002936.73,-25969.810000000005,1452385.32,0
ACC11,35896.21,MerchantA,Purchase,San Francisco,5,25,23,34,0,-25568.32,1441449.4,-53150.50000000001,1650893.38,0
ACC4,22627.44,MerchantG,Purchase,Los Angeles,5,24,20,24,0,13978.38,974136.49,-9510.510000000002,1962736.23,0
ACC8,75483.11,MerchantB,Purchase,San Francisco,11,3,0,15,0,72677.29,2360306.86,68303.52,3170155.51,0
ACC14,95010.56,MerchantA,Transfer,Tokyo,4,17,11,18,0,76741.26999999999,472881.13,62083.75,1321276.4100000001,0
ACC11,52861.3,MerchantF,Withdrawal,London,5,18,11,45,0,41223.96000000001,799978.27,-197.5399999999936,1294371.38,0
ACC10,49734.58,MerchantJ,Withdrawal,San Francisco,10,5,9,57,0,27550.7,3092443.83,-27116.020000000004,4110614.33,0
ACC14,10536.25,MerchantE,Withdrawal,Los Angeles,5,1,8,19,0,-62632.44,2849376.95,159.26000000000022,3641483.96,0
ACC2,97182.72,MerchantB,Purchase,London,3,1,12,49,0,24343.869999999995,2580873.67,54272.21,3736157.57,0
ACC4,88772.28,MerchantI,Withdrawal,San Francisco,5,23,19,59,0,21023.490000000005,1158509.49,17317.39,1637534.6199999999,0
ACC6,9009.33,MerchantJ,Withdrawal,Los Angeles,2,16,15,35,0,-82647.0,859486.09,-50102.67,1467991.42,0
ACC5,5139.0,MerchantH,Withdrawal,London,10,2,9,49,0,-68560.67,2074137.52,591.3699999999999,3141090.91,0
ACC4,88335.44,MerchantF,Purchase,New York,5,19,12,11,0,61661.62,1179356.78,-7235.259999999995,1184095.59,0
ACC12,65066.72,MerchantA,Withdrawal,London,6,3,18,31,1,18600.39,2875551.1,45890.22,3774067.77,0
ACC12,43777.82,MerchantG,Transfer,London,1,29,2,0,1,-13032.940000000002,937411.25,-55463.98,1119054.16,0
ACC2,82020.37,MerchantI,Withdrawal,Los Angeles,5,25,6,38,0,68852.59,1048048.49,48999.049999999996,1179681.06,0
ACC8,46344.09,MerchantJ,Purchase,Los Angeles,1,22,13,35,1,41227.549999999996,1298591.34,39745.21,1348275.62,0
ACC5,59461.14,MerchantA,Transfer,Los Angeles,1,14,6,52,1,13622.269999999997,1117424.07,-2556.770000000004,1623644.24,0
ACC10,71125.48,MerchantI,Purchase,London,5,19,21,11,0,65627.68,731084.58,55381.579999999994,2203961.68,0
ACC5,79883.57,MerchantH,Transfer,Los Angeles,11,4,8,57,1,57544.41,2524145.42,18108.930000000008,4345278.52,0
ACC3,99817.78,MerchantA,Withdrawal,New York,10,3,19,35,0,28612.509999999995,2261119.58,53806.56,3669984.45,0
ACC3,14080.0,MerchantI,Purchase,New York,3,18,22,57,1,-703.5400000000009,829546.38,-80757.21,999142.76,0
ACC9,63239.74,MerchantI,Purchase,San Francisco,9,2,11,19,1,-8739.700000000004,2972317.75,9505.169999999998,3986957.57,0
ACC12,17686.74,MerchantD,Purchase,London,1,22,20,8,1,14934.900000000001,1799013.25,-48381.42999999999,1309660.67,0
ACC4,35900.85,MerchantE,Withdrawal,Tokyo,3,13,20,14,0,-11883.599999999999,1094608.47,11479.079999999998,872033.58,0
ACC8,12223.0,MerchantJ,Withdrawal,London,5,25,10,49,0,-54699.0,933003.73,-54699.0,1198398.48,0
ACC2,97981.19,MerchantB,Withdrawal,Tokyo,2,24,18,55,0,20689.64,863294.2,88128.96,1718967.84,0
ACC11,49342.73,MerchantH,Transfer,London,11,4,11,44,1,13813.61,2552789.5,1028.7000000000044,3333022.7199999997,0
ACC7,99335.93,MerchantF,Transfer,Los Angeles,5,31,1,22,0,56072.95999999999,880621.88,4244.539999999994,1290243.1099999999,0
ACC14,52053.17,MerchantG,Withdrawal,Tokyo,4,3,14,36,0,19643.67,2368677.93,-45055.15000000001,3841186.21,0
ACC6,37919.33,MerchantD,Withdrawal,Tokyo,3,26,12,19,1,-461.1100000000006,1057068.86,31278.29,1245523.48,0
ACC6,98101.08,MerchantA,Transfer,New York,4,2,17,26,1,56943.490000000005,1865202.86,56447.12,3851656.98,0
ACC3,12440.94,MerchantA,Transfer,London,1,13,12,52,0,-23500.119999999995,1026104.87,-80018.59999999999,2009934.82,0
ACC9,57560.69,MerchantE,Withdrawal,San Francisco,2,26,12,4,1,44494.26,696198.52,9127.0,1548127.84,0
ACC10,61633.5,MerchantD,Withdrawal,Tokyo,4,1,16,30,1,17891.57,1994427.01,61486.92,3195966.61,0
ACC4,39875.84,MerchantC,Transfer,Los Angeles,4,24,19,10,0,-53802.18000000001,950975.94,253.2899999999936,1085490.53,0
ACC7,83159.35,MerchantC,Purchase,New York,5,26,8,30,0,37971.48,1237051.79,52963.47,1584786.17,0
ACC14,13673.44,MerchantD,Transfer,Tokyo,5,2,18,34,0,-28745.1,2121943.31,-44634.439999999995,3685637.3,0
ACC1,13245.85,MerchantC,Purchase,San Francisco,1,5,10,40,0,-23834.29,2606653.13,-19623.93,3136069.6,0
ACC9,34868.47,MerchantC,Purchase,New York,2,22,12,16,0,24776.11,951024.04,24776.11,1227629.71,0
ACC2,35991.48,MerchantH,Transfer,Tokyo,2,23,13,8,0,-16829.189999999995,932459.62,-21595.219999999994,1529494.92,0
ACC5,61914.62,MerchantJ,Transfer,Tokyo,5,30,22,49,0,-14.290000000000873,1071250.15,41066.54,1147443.56,0
ACC12,56517.17,MerchantB,Purchase,New York,5,27,3,31,1,3759.8099999999977,1128763.44,-20735.17,1527626.59,0
ACC3,94960.08,MerchantJ,Transfer,Tokyo,2,24,0,55,0,43544.47,588612.21,17810.83,1648074.58,0
ACC13,59374.24,MerchantD,Transfer,New York,9,1,12,13,0,38812.42,2479526.95,20911.46,3804241.71,0
ACC3,86621.24,MerchantA,Withdrawal,New York,2,22,4,58,0,22754.200000000004,1330928.24,2517.6699999999983,1515455.01,0
ACC12,86607.79,MerchantI,Purchase,Los Angeles,4,29,20,20,1,24436.509999999995,801635.26,-4379.170000000013,998292.99,0
ACC8,49232.96,MerchantE,Transfer,Los Angeles,8,3,18,16,0,-23923.670000000006,2222655.62,25835.309999999998,4227142.94,0
ACC11,68357.71,MerchantF,Purchase,New York,1,23,10,6,0,26726.410000000003,1045625.47,63186.66,1479521.8,0
ACC15,8177.75,MerchantB,Transfer,Tokyo,8,3,5,4,0,2755.3199999999997,3114309.86,-89465.33,3001054.19,0
ACC3,35704.7,MerchantD,Purchase,New York,11,5,12,53,1,-47084.17,2906215.51,21011.399999999998,3377510.07,0
ACC11,3466.67,MerchantF,Purchase,London,4,16,22,21,1,-95829.15000000001,834617.01,-90348.94,1138499.7,0
ACC12,89012.08,MerchantF,Purchase,New York,3,5,10,12,1,41102.61,2586230.95,15027.080000000002,3959271.36,0
ACC5,22287.91,MerchantH,Purchase,San Francisco,1,20,22,42,0,-72505.86,987674.73,-67281.73,1786450.97,0
ACC2,88118.98,MerchantC,Transfer,New York,11,2,1,14,0,65323.45,2641214.95,76721.54,3755391.04,0
ACC1,59883.87,MerchantF,Purchase,New York,1,27,18,42,0,-31249.730000000003,1086074.87,20854.780000000006,1219706.63,0
ACC14,28960.85,MerchantA,Purchase,London,2,16,0,51,0,-26574.489999999998,1153060.24,-69271.97,1720991.3800000001,0
ACC2,76645.49,MerchantC,Purchase,San Francisco,1,31,21,48,0,52762.22,875110.38,67075.12000000001,524458.85,0
ACC4,99518.98,MerchantA,Purchase,Tokyo,2,23,7,51,0,85105.43,990710.54,32249.059999999998,1915207.77,0
ACC1,45249.49,MerchantB,Transfer,San Francisco,4,27,10,3,0,10746.68,986898.76,-29473.85,1811865.04,0
ACC13,60010.63,MerchantF,Withdrawal,Tokyo,8,2,14,35,0,12959.379999999997,2857232.79,12959.379999999997,3836542.52,0
ACC3,12686.39,MerchantI,Transfer,San Francisco,11,3,19,28,0,-39148.18,2261119.58,-44097.87,3688757.87,0
ACC6,69555.91,MerchantD,Withdrawal,Los Angeles,5,3,10,10,0,8573.130000000005,2264586.84,33340.810000000005,3427694.2,0
ACC10,3960.24,MerchantI,Purchase,Tokyo,12,3,14,33,1,-33870.04,2664836.25,-21574.68,3815906.25,0
ACC11,20679.92,MerchantA,Transfer,New York,1,15,9,30,1,523.7299999999996,803092.61,-10637.350000000002,1564578.19,0
ACC13,13993.91,MerchantA,Purchase,New York,2,25,20,38,1,-14228.95,932709.99,-14228.95,1336551.19,0
ACC13,70698.09,MerchantE,Purchase,Tokyo,3,20,6,1,0,32670.399999999994,636961.56,5511.159999999996,2180499.69,0
ACC3,29081.36,MerchantA,Transfer,London,4,1,20,25,1,-32506.089999999997,2691205.05,-37985.71000000001,3719263.39,0
ACC8,9051.52,MerchantB,Transfer,New York,2,2,2,4,0,-42397.44,3718160.64,-60903.92999999999,3509400.69,1
ACC14,89872.9,MerchantH,Transfer,San Francisco,4,22,16,35,1,79314.54,1327941.26,8436.37999999999,1451471.95,0
ACC1,18298.67,MerchantE,Withdrawal,San Francisco,4,14,5,56,0,-28189.010000000002,791503.79,-53884.36,1198551.1300000001,0
ACC3,63588.29,MerchantD,Withdrawal,San Francisco,1,17,15,17,0,-16205.68,1418476.03,15864.599999999999,1981397.08,0
ACC5,33347.0,MerchantC,Purchase,Tokyo,12,2,20,22,1,-2203.1800000000003,2532019.86,17488.120000000003,3066600.92,0
ACC9,52344.66,MerchantC,Withdrawal,New York,4,30,11,50,1,-18280.58,739760.27,-35613.759999999995,877169.59,0
ACC3,93243.05,MerchantD,Purchase,San Francisco,10,1,14,4,1,23218.47,2641471.6,41249.030000000006,3462534.7,0
ACC15,36598.38,MerchantE,Transfer,London,2,17,7,42,0,-37307.61000000001,1133102.78,-37307.61000000001,1863850.08,0
ACC9,61317.17,MerchantI,Purchase,San Francisco,1,29,10,19,1,-12208.150000000009,620781.21,28874.989999999998,1522311.69,0
ACC5,35135.89,MerchantD,Withdrawal,Los Angeles,2,3,19,54,0,-55706.03,2702251.7399999998,6723.259999999998,2662613.79,0
ACC13,91591.32,MerchantD,Transfer,Los Angeles,2,15,2,42,0,79216.42000000001,950128.41,79216.42000000001,1167843.58,0
ACC10,7141.36,MerchantE,Transfer,London,3,28,4,4,0,-8403.670000000002,944798.4400000001,-32305.809999999998,1034503.49,0
ACC4,730.91,MerchantE,Withdrawal,New York,5,4,5,23,0,-87660.44,2194298.87,-57040.549999999996,3307506.39,0
ACC5,5400.48,MerchantI,Purchase,London,3,13,17,14,0,-51121.22,970615.77,-77969.51000000001,1237231.0,0
ACC13,3166.05,MerchantH,Transfer,New York,3,4,19,53,1,-81857.94,2494183.64,-34383.18,3936093.55,0
ACC8,13381.41,MerchantJ,Purchase,New York,5,28,3,18,1,-39277.09,956194.72,-15655.68,1194378.0,0
ACC13,72143.15,MerchantA,Transfer,London,11,4,12,34,1,4634.479999999996,2664831.21,3361.12999999999,3501815.97,0
ACC10,55452.86,MerchantI,Transfer,Los Angeles,3,31,6,29,0,2727.8499999999985,643400.77,10562.239999999998,863159.7,0
ACC5,79377.25,MerchantE,Withdrawal,Tokyo,4,14,16,50,0,41087.92,992834.39,13106.789999999994,1297461.2,0
ACC9,16865.3,MerchantG,Transfer,London,3,14,1,25,0,-9305.220000000001,609620.89,-19235.710000000003,1442303.96,0
ACC13,47964.0,MerchantG,Transfer,New York,10,3,7,2,0,-33328.17,2440536.64,-6473.389999999999,3132379.79,0
ACC5,2627.41,MerchantA,Transfer,New York,4,21,4,2,0,-28494.05,1134007.3,-28494.05,768310.01,0
ACC9,91945.23,MerchantC,Withdrawal,Tokyo,4,18,10,52,0,72279.14,532519.73,-1394.1300000000047,2085103.59,0
ACC8,99741.27,MerchantF,Purchase,Los Angeles,4,21,7,42,0,21487.37000000001,942291.64,4499.330000000002,1365791.91,0
ACC9,47749.67,MerchantG,Purchase,London,10,4,11,13,0,-44833.369999999995,3307772.13,30588.17,3506219.82,0
ACC13,97844.55,MerchantI,Transfer,Los Angeles,2,3,10,35,0,-187.33000000000175,3831138.43,13021.61,3966453.11,1
ACC3,2122.39,MerchantA,Transfer,New York,5,18,0,53,0,-18101.89,1023936.39,-52365.1,1483531.46,0
ACC11,64169.09,MerchantF,Purchase,San Francisco,8,2,12,48,0,9.479999999995925,2234775.56,-34127.34,3469293.16,0
ACC6,26684.59,MerchantJ,Transfer,San Francisco,3,5,10,59,1,-23967.98,2400714.33,-35667.58,4505087.78,0
ACC6,80619.98,MerchantC,Transfer,New York,3,25,8,25,1,25966.489999999998,1206062.57,34360.009999999995,1771762.8800000001,0
ACC5,49634.75,MerchantI,Withdrawal,Los Angeles,4,1,6,24,1,34763.55,2355324.06,34763.55,3164178.71,0
ACC13,87996.01,MerchantD,Transfer,London,2,19,15,44,1,-2049.2300000000105,911210.87,35026.49999999999,2260352.31,0
ACC10,17466.94,MerchantH,Transfer,Tokyo,5,28,8,20,1,-54569.44,1220706.03,-44636.97,1046445.52,0
ACC8,90012.65,MerchantE,Purchase,Los Angeles,3,14,21,16,0,36750.969999999994,995539.02,36750.969999999994,2420560.89,0
ACC9,54615.26,MerchantD,Transfer,London,5,1,21,36,0,25482.070000000003,2440384.87,-6038.759999999995,2956074.03,0
ACC9,97439.71,MerchantH,Withdrawal,Tokyo,1,25,15,37,0,713.2900000000081,1301418.68,51596.8,1392917.3,0
ACC7,70165.5,MerchantI,Transfer,New York,3,23,20,1,0,-17793.990000000005,1343572.61,2177.350000000006,2453663.03,0
ACC5,78017.68,MerchantA,Purchase,Los Angeles,5,29,2,29,0,-2658.790000000008,1240843.69,53997.219999999994,1452435.25,0
ACC3,2964.64,MerchantF,Withdrawal,San Francisco,3,24,12,22,0,-5037.77,519503.31,-1833.6300000000006,1510055.8800000001,0
ACC1,69328.27,MerchantG,Transfer,London,4,27,3,44,0,-27174.199999999997,1134422.46,-9362.309999999998,1646444.06,0
ACC11,6054.97,MerchantB,Withdrawal,Los Angeles,1,28,23,53,1,-55262.1,1383919.1400000001,-3276.6799999999994,1770875.58,0
ACC4,16795.51,MerchantE,Purchase,New York,3,31,8,41,0,-4623.800000000003,333913.66,-58454.17,1001658.28,0
ACC12,11786.51,MerchantI,Purchase,San Francisco,10,1,8,1,1,-77312.93000000001,2528938.59,-17608.440000000002,3352688.0100000002,0
ACC10,95596.85,MerchantA,Transfer,London,4,19,18,3,0,32865.75000000001,1033554.15,42118.670000000006,2326486.86,0
ACC4,10380.04,MerchantB,Purchase,San Francisco,8,2,4,16,0,-83226.9,2137131.7,6231.1900000000005,2890988.86,0
ACC3,37669.4,MerchantA,Withdrawal,New York,5,14,18,33,1,6991.040000000001,644960.03,1782.9199999999983,1638334.28,0
ACC7,28059.16,MerchantJ,Purchase,New York,11,1,3,51,0,-47471.479999999996,2568496.98,8223.02,3821056.82,0
ACC14,12149.93,MerchantF,Purchase,New York,5,3,16,3,0,-38877.69,2217105.14,-33574.52,3386070.0100000002,0
ACC5,84628.34,MerchantA,Withdrawal,San Francisco,3,5,14,24,1,-1616.3899999999994,2197049.3,16597.199999999997,4451032.8,0
ACC15,41586.01,MerchantE,Transfer,London,1,17,2,46,0,-3221.8499999999985,1108898.01,-56317.469999999994,1471597.35,0
ACC10,53050.51,MerchantD,Purchase,London,5,19,20,22,0,-31432.219999999994,1669082.2,32114.350000000002,1853266.47,0
ACC1,93898.71,MerchantI,Withdrawal,San Francisco,1,18,23,45,0,80350.55,1013051.61,44642.07000000001,1128362.46,0
ACC3,19532.75,MerchantG,Transfer,London,11,5,0,48,1,-68383.13,2189090.15,-68383.13,3767069.93,0
ACC10,58932.59,MerchantH,Purchase,London,3,18,13,4,1,-3474.9900000000052,964528.69,44285.219999999994,1526673.29,0
ACC9,20346.95,MerchantI,Withdrawal,Tokyo,1,26,2,47,0,4623.810000000001,1115179.53,-8887.279999999999,1371467.3699999999,0
ACC13,32154.29,MerchantI,Purchase,Los Angeles,4,20,23,55,0,-45372.909999999996,1239041.34,-27139.949999999997,1461390.88,0
ACC13,40307.15,MerchantJ,Withdrawal,Tokyo,10,4,11,49,0,-35811.6,2952315.19,14315.830000000002,5092617.07,1
ACC4,53447.57,MerchantD,Purchase,San Francisco,10,1,8,38,1,-37131.810000000005,2754143.66,53160.89,3351051.37,0
ACC7,14083.57,MerchantA,Withdrawal,San Francisco,5,2,10,36,0,-3284.1800000000003,2614615.09,-75706.70999999999,3804870.98,0
ACC5,98710.66,MerchantF,Transfer,New York,1,16,19,0,0,89095.24,1120261.23,51699.29,1657400.1500000001,0
ACC9,25633.41,MerchantF,Transfer,Tokyo,5,2,11,5,0,-13198.630000000001,2972317.75,-31819.31,3718717.39,0
